bcg_coverage	ba_coverage	ba31_hits	ba31_coverage	bcerg31_coverage	model_fit	model_99pi	ba_detectable	grey_zone	kraken
100	0.003	10103.75	0.04536	60.86265	10458.7907157518	10790.180613199	FALSE	TRUE	31039
10	0.0004	1093.4	0.0046	6.097665	1047.83807622187	1379.20302752477	FALSE	TRUE	3829
100	0.004	10135.7	0.04526	60.906	10466.2400886846	10797.6300220398	FALSE	TRUE	31280
10	0.0005	1051.25	0.004405	6.05346	1040.24177794058	1371.60672558932	FALSE	TRUE	3778
100	0.005	10283.65	0.046145	60.884295	10462.5102469428	10793.900162316	FALSE	TRUE	31335
10	0.0006	1059.55	0.00445	6.05349	1040.24693321596	1371.61188086717	FALSE	TRUE	3788
100	0.006	10370	0.04616	60.83292	10453.6818378443	10785.0717106801	FALSE	TRUE	31487
10	0.0007	1117.8	0.004705	6.10525	1049.14150168196	1380.50645361454	FALSE	TRUE	3974
100	0.007	10551.3	0.04742	60.902935	10465.7133913827	10797.1033221982	FALSE	TRUE	31849
10	0.0008	1191.05	0.005015	6.078825	1044.60056327945	1375.96551302171	FALSE	TRUE	4098
100	0.008	10619.6	0.04744	60.97605	10478.2776567109	10809.6676481445	FALSE	TRUE	31936
10	0.0009	1194.4	0.005035	6.11804	1051.33936742153	1382.70432041766	FALSE	TRUE	3919
100	0.009	10697.65	0.04772	60.80003	10448.0299375961	10779.4197832185	FALSE	TRUE	32143
1	0.0001	117.25	0.000485	0.59301	101.904328555329	433.269029305278	FALSE	TRUE	375
10	0.001	1114.9	0.004695	6.07631	1044.16837935959	1375.53332889388	FALSE	TRUE	3880
100	0.01	11019.7	0.04959	60.958225	10475.2145639191	10806.6045405676	TRUE	TRUE	31961
1	0.0002	134.45	0.00056	0.60435	103.853022651242	435.217723493563	FALSE	TRUE	415
10	0.002	1356.25	0.00571	6.13525	1054.29677706798	1385.66173149871	FALSE	TRUE	4169
100	0.02	12481.05	0.05565	60.993345	10481.249672971	10812.6396787541	TRUE	TRUE	33872
1	0.0003	141.4	0.000595	0.60439	103.859896351757	435.224597194406	FALSE	TRUE	424
10	0.003	1376.9	0.005795	6.092575	1046.96339783137	1378.32834871216	FALSE	TRUE	4168
100	0.03	13355.2	0.05944	60.905595	10466.1704924669	10797.5604254865	TRUE	TRUE	35022
1	0.0004	149.45	0.000635	0.611795	105.132390159538	436.497091063454	FALSE	TRUE	455
10	0.004	1530.95	0.00644	6.09606	1047.56226898871	1378.92722015847	TRUE	TRUE	4256
100	0.04	14728.3	0.066	60.97422	10477.9631849124	10809.3531748279	TRUE	TRUE	36677
1	0.0005	151.1	0.00064	0.60199	103.447474320876	434.812175143829	FALSE	TRUE	450
10	0.005	1731.45	0.007285	6.062955	1041.87342260025	1373.23837103164	TRUE	TRUE	4531
100	0.05	15909.95	0.070965	60.839705	10454.8477892941	10786.2376677456	TRUE	TRUE	37880
1	0.0006	159.65	0.00067	0.602005	103.450051958569	434.814752781644	FALSE	TRUE	458
10	0.006	1736.9	0.007295	6.08588	1045.81291220773	1377.17786253383	TRUE	TRUE	4568
100	0.06	17107.4	0.076325	61.00489	10483.233594782	10814.6236101462	TRUE	TRUE	39559
