run	bcerg31_coverage	ba31_hits	lef31_hit	model_fit	model_99pi	exceeds_99pi	gray_zone
GCSS-00	0.0019640577433	0	0	0.33750861802479	331.702206975656	FALSE	TRUE
GCSS-01	0.146224098989	6	0	25.1275166119998	356.492215115063	FALSE	FALSE
GCSS-02	0.0188549543357	6	0	3.24008273304142	334.604781093065	FALSE	TRUE
GCSS-03	0.0173819110282	6	0	2.98695126951853	334.351649629179	FALSE	TRUE
GCSS-04	0.00883825984484	0	0	1.51878878110984	332.883487139246	FALSE	TRUE
GCSS-05	0.0271039968575	6	0	4.65761892873523	336.022317291338	FALSE	TRUE
GCSS-06	0.0204262005303	6	0	3.51008962745438	334.874787987898	FALSE	TRUE
GCSS-07	0.0109005204753	3	0	1.87317283003501	333.237871188449	FALSE	TRUE
GCSS-08	0.01905136011	6	0	3.27383359483875	334.638531954913	FALSE	TRUE
GCSS-09	0.0233722871452	5	0	4.01635255448297	335.381050915804	FALSE	TRUE
GCSS-10	0.0263183737602	3	0	4.52261548152875	335.887313843846	FALSE	TRUE
GCSS-11	0.016105273495	1	0	2.76757066779297	334.132269027163	FALSE	TRUE
GCSS-12	0.0235686929196	6	0	4.05010341629748	335.414801777682	FALSE	TRUE
GCSS-13	0.0149268388491	6	0	2.56506549699184	333.929763856113	FALSE	TRUE
GCSS-14	0.0179711283512	2	0	3.08820385492769	334.45290221473	FALSE	TRUE
P00007	0.0391829519788	4	0	6.73329692958855	338.097995297638	FALSE	TRUE
P00008	0.000687420210154	0	0	0.118128016308505	331.482826373917	FALSE	TRUE
P00009	0.080428164588	2	0	13.820977908092	345.185676309704	FALSE	TRUE
P00010	0.0668761661593	0	0	11.4921684437329	342.856866831764	FALSE	TRUE
P00011	0.285377590101	39	0	49.0400021989178	380.404701110561	FALSE	FALSE
P00024	0.0667779632721	23	0	11.4752930128257	342.839991400767	FALSE	TRUE
P00027	0.0688402239026	4	0	11.8296770617577	343.194375451602	FALSE	TRUE
P00030	0.773642345085	49	0	132.944644639815	464.309347069161	FALSE	FALSE
P00031	0.0927035254836	136	0	15.9304067707426	347.295105186812	FALSE	TRUE
P00032	0.169792791908	52	0	29.1776200281941	360.542318581927	FALSE	FALSE
P00033	0.0373170971227	4	0	6.41266374247101	337.77736210955	FALSE	TRUE
P00034	0.00039281154866	0	0	0.067501723604958	331.432200081211	FALSE	TRUE
P00035	0.073848571148	8	0	12.6903240377184	344.055022432424	FALSE	TRUE
P00036	0.0075616223117	3	0	1.29940817939458	332.664106537389	FALSE	TRUE
P00041	0.0531277619562	5	0	9.12960811755941	340.494306494366	FALSE	TRUE
P00042	0.213296670922	57	0	36.6534359174269	368.018134584537	FALSE	FALSE
P00044	0.458902091721	77	0	78.8588886013127	410.223588391567	FALSE	FALSE
P00046	1.57635274477	213	0	270.884416826253	602.249132088519	FALSE	FALSE
P00047	1.20102131003	310	0	206.386519922511	537.7512280931	FALSE	FALSE
P00049	4.59383285869	1103	0	789.415782128819	1120.78062405187	FALSE	FALSE
P00050	0.213591279584	4	0	36.7040622102174	368.068760878183	FALSE	FALSE
P00051	0.315624079348	24	0	54.2376349165305	385.602333951839	FALSE	FALSE
P00052	0.557399587548	55	0	95.7849457953427	427.149646266597	FALSE	FALSE
P00053	0.0300500834725	3	0	5.16388185578101	336.528580219529	FALSE	TRUE
P00054	0.58018265737	45	0	99.7000457643821	431.064746411954	FALSE	FALSE
P00055	4.53716979279	502	0	779.678658497808	1111.04349690106	FALSE	FALSE
P00056	0.0842580771875	100	0	14.4791197132515	345.843818119154	FALSE	TRUE
P00058	0.000294608661495	0	0	0.0506262927037185	331.415324650309	FALSE	TRUE
P00059	0.0168908965924	3	0	2.90257411501663	334.267272474563	FALSE	TRUE
P00060	0.217715800845	0	0	37.4128303080815	368.777528988149	FALSE	FALSE
P00061	0.0119807522341	2	0	2.05880256994607	333.423500928528	FALSE	TRUE
P00062	0.00510655013257	0	0	0.877522406862736	332.242220764645	FALSE	TRUE
P00063	0.00687420210154	0	0	1.18128016308505	332.545978521012	FALSE	TRUE
P00064	2.91043896691	781	0	500.137145620189	831.501901603546	FALSE	FALSE
P00066	0.0338799960719	7	0	5.82202366092334	337.186722026337	FALSE	TRUE
P00067	0.0498870666798	0	0	8.57271889782623	339.937417272362	FALSE	TRUE
P00068	0.383187665717	135	0	65.8479313764939	397.212630733001	FALSE	FALSE
P00069	0.00569576745556	1	0	0.978774992270173	332.343473350096	FALSE	TRUE
P00070	0.104487871943	165	0	17.9554584788226	349.320156910701	FALSE	FALSE
P00072	0	0	0	0	331.364698357605	FALSE	TRUE
P00073	0.317882745753	8	0	54.6257698272943	385.990468872337	FALSE	FALSE
P00074	4.59432387312	133	0	789.500159282324	1120.86500123607	FALSE	FALSE
P00079	0.0260237650987	4	0	4.47198918882417	335.836687551037	FALSE	TRUE
P00080	0.666502995188	141	0	114.533549526566	445.898250906236	FALSE	FALSE
P00081	37.9052342139	328	0	6513.73069813318	6845.10517092463	FALSE	FALSE
P00083	0.176274182461	291	0	30.2913984676949	361.656097036687	FALSE	FALSE
P00084	0.00716881076304	15	0	1.23190645578963	332.596604813744	FALSE	TRUE
P00085	0.0169890994795	36	0	2.9194495459067	334.284147905475	FALSE	TRUE
P00086	0.00216046351763	0	0	0.371259479827269	331.735957837464	FALSE	TRUE
P00087	0.0341746047334	1	0	5.87264995362791	337.237348319178	FALSE	TRUE
P00088	1.32446233919	111	0	227.598936564269	558.963646855677	FALSE	FALSE
P00089	0.0156142590592	3	0	2.68319351329107	334.047891872555	FALSE	TRUE
P00090	2.33222036728	216	0	400.774608473265	732.139343834028	FALSE	FALSE
P00091	4.09456938034	551	0	703.621091426378	1034.98590383943	FALSE	FALSE
P00092	0.773151330649	10	0	132.860267485279	464.224969909458	FALSE	FALSE
P00093	0.047628400275	0	0	8.18458398709687	339.549282360134	FALSE	TRUE
P00094	1.59265442404	90	0	273.685738355964	605.050453969673	FALSE	FALSE
P00095	0.0667779632721	4	0	11.4752930128257	342.839991400767	FALSE	TRUE
P00099	1.29932240008	175	0	223.27882625428	554.643536096951	FALSE	FALSE
P00100	10.2980457625	148	0	1769.64206144856	2101.00748126044	FALSE	FALSE
P00101	0.158695865658	5	0	27.2706963362931	358.635394865227	FALSE	FALSE
P00102	0.533241677305	20	0	91.6335897935673	422.998290085579	FALSE	FALSE
P00103	0.00785623097319	1	0	1.35003447209744	332.714732830123	FALSE	TRUE
P00107	0.0237650986939	7	0	4.08385427809481	335.448552639542	FALSE	TRUE
P00108	0.0665815574978	0	0	11.4415421510284	342.806240538792	FALSE	TRUE
P00109	1.4215849946	98	0	244.28873772625	575.653449832039	FALSE	FALSE
P00111	0.0312285181184	5	0	5.36638702658214	336.731085390822	FALSE	TRUE
P00112	0.0417362270451	16	0	7.1720581330225	338.536756502478	FALSE	TRUE
P00113	0.114799175096	0	0	19.7273787235688	351.092077170829	FALSE	FALSE
P00114	0.0075616223117	3	0	1.29940817939458	332.664106537389	FALSE	TRUE
P00115	0.0441912992242	3	0	7.59394390554919	338.95864227644	FALSE	TRUE
P00116	0.0019640577433	1	0	0.33750861802479	331.702206975656	FALSE	TRUE
P00117	0.297947559658	56	0	51.2000573542559	382.564756315781	FALSE	FALSE
P00118	0.000982028871649	0	0	0.168754309012223	331.533452666624	FALSE	TRUE
P00119	0.759108317785	94	0	130.447080866504	461.8117831443	FALSE	FALSE
P00120	0.0200333889816	0	0	3.44258790384255	334.807286264178	FALSE	TRUE
P00121	0.894333693411	125	0	153.684549217476	485.049253016333	FALSE	FALSE
P00122	0.0417362270451	4	0	7.1720581330225	338.536756502478	FALSE	TRUE
P00123	0.0230776784837	3	0	3.9657262617784	335.330424623007	FALSE	TRUE
P00124	0.00952568005499	0	0	1.63691679741766	333.00161515564	FALSE	TRUE
P00125	0.0019640577433	2	0	0.33750861802479	331.702206975656	FALSE	TRUE
P00126	0.017283708141	0	0	2.97007583861128	334.334774198249	FALSE	TRUE
P00127	0.554748109594	124	0	95.3293091609156	426.694009612109	FALSE	FALSE
P00128	0.335166453894	41	0	57.5958456659055	388.960544787735	FALSE	FALSE
P00129	0.0170873023667	0	0	2.93632497681396	334.301023336405	FALSE	TRUE
P00130	0.308160659923	66	0	52.9551021679573	384.319801171594	FALSE	FALSE
P00131	0.00481194147108	0	0	0.826896114159877	332.191594471923	FALSE	TRUE
P00132	0.390258273593	57	0	67.0629624014038	398.427661795114	FALSE	FALSE
P00133	2.0742413827	267	0	356.44285149613	687.807579123432	FALSE	FALSE
P00134	19.7106942944	2755	0	3387.13523790523	3718.50257929082	FALSE	FALSE
P00135	0.0138466070902	0	0	2.3794357570636	333.744134115973	FALSE	TRUE
P00139	0.778945300992	793	0	133.855917908498	465.220620393855	TRUE	FALSE
P00141	0.0874987724639	8	0	15.0360089329846	346.400707342674	FALSE	TRUE
P00143	0.148286359619	5	0	25.4819006608459	356.846599168041	FALSE	FALSE
P00147	0.0105077089266	0	0	1.80567110642318	333.170369464779	FALSE	TRUE
P00148	0.00225866640479	0	0	0.38813491072765	331.752833268368	FALSE	TRUE
P00149	0.0618678189139	54	0	10.6315214677723	341.996219851417	FALSE	TRUE
P00150	0.0493960522439	31	0	8.48834174330715	339.853040117511	FALSE	TRUE
P00151	0.0671707748208	1	0	11.5427947364375	342.907493124737	FALSE	TRUE
